Cust_Industry,Industry,Company Industry,,,Industry (IT Recommendation),,,
49,Dormitories, , , ,Dormitories,,,
50,HR/Recruitment,15,HRR,HR/Recruitment,HR/Recruitment,,,
51,Household employees not hired via agency, , , ,Household employees not hired via agency,,,
52,"Shuttle Services / Operators of taxis, jeepneys, tricycles, etc.", , , ,"Shuttle Services / Operators of taxis, jeepneys, tricycles, etc.",,,
53,Sari-Sari Store, , , ,Sari-Sari Store,,,
54,Street Stall, , , ,Street Stall,,,
55,Informal Sector - Others, , , ,Informal Sector - Others,,,
56,"Computer Consultancy, Programming", , , ,"Computer Consultancy, Programming",,,
57,Telecommunications, , , ,Telecommunications,,,
58,"TV, Publishing, etc.", , , ,"TV, Publishing, etc.",,,
59,Information Technology,16,INT,Information Technology,Information Technology,,,
60,Manpower Agencies,22,MSC,Manpower/Security,Manpower Agencies,,,
61,Customer Relations, , , ,Customer Relations,,,
62,Private Security, , , ,Private Security,,,
63,"Armament Manufacturers, Dealers and Intermediaries", , , ,"Armament Manufacturers, Dealers and Intermediaries",,,
64,Manufacture of Refined Petroleum Products, , , ,Manufacture of Refined Petroleum Products,,,
65,Manufacturing (Essentials), , , ,Manufacturing,,,
66,Manufacturing (Non-Essentials), , , ,Manufacturing,,,
67,Media/Advertising,19,MDS,Media/Advertising,Media/Advertising,,,
68,Private Medical Services, , , ,Medical Services,,,
69,Government Medical Services, , , ,Medical Services,,,
70,Military, , , ,Military,,,
71,Mining,21,MIN,Mining,Mining,,,
72,Non-Voice BPO/Consulting,23,NON,Non-Voice BPO/Consulting,Non-Voice BPO/Consulting,,,
73,Pharmacy,25,PHA,Pharmacy,Pharmacy,,,
74,Accounting Firm, , , ,Accounting Firm,,,
75,Auctioneers, , , ,Auctioneers,,,
76,Custom Brokerage Firm, , , ,Custom Brokerage Firm,,,
77,Dealers of Art & Antique, , , ,Dealers of Art & Antique,,,
78,Dealers or Exporters of Jewels/Gem/Precious Metal, , , ,Dealers or Exporters of Jewels/Gem/Precious Metal,,,
79,Interior Design, , , ,Interior Design,,,
80,Law Firm, , , ,Law Firm,,,
81,Veterinary Activities, , , ,Veterinary Activities,,,
82,Real Estate,27,REA,Real Estate,Real Estate,,,
83,Religious,28,REL,Religious,Religious,,,
84,Rental, , , ,Rental,,,
85,Restaurants/Food & Beverage,29,RFB,Restaurants/Food & beverage,Restaurants/Food & Beverage,,,
86,Social Services,31,SOC,Social Services,Social Services,,,
87,"Buses, Public Utility Cars, Taxicabs", , , ,"Buses, Public Utility Cars, Taxicabs",,,
88,"Freight Truck, Freight Rail Transport, Truck for Hire",37,TRU,TRUCKING,"Freight Truck, Freight Rail Transport, Truck for Hire",,,
89,Logistics Services, , , ,Logistics Services,,,
90,Operation of Toll Roads & Bridges, , , ,Operation of Toll Roads & Bridges,,,
91,Parking Garage, , , ,Parking Garage,,,
92,"Warehouses, Cold Storage", , , ,"Warehouses, Cold Storage",,,
93,Water Transportation, , , ,Water Transportation,,,
94,Travel and Tourism,33,TTO,Travel and Tourism,Travel and Tourism,,,
95,"Electricity, Gas, Steam and Air Conditioning Supply", , , ,"Electricity, Gas, Steam and Air Conditioning Supply",,,
96,"Water Supply, Sewerage, Waste Mgt & Remediation Activities", , , ,"Water Supply, Sewerage, Waste Mgt & Remediation Activities",,,
97,"Professional, Scientific and Technical Services",26,PST,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",,,
98,Manufacturing,18,MAN,Manufacturing,Manufacturing,,,
99,Utilities,35,UTI,Utilities,Utilities,,,
,,12,HAR,Health and Recreation,Health and Recreation,,,
 , ,17,ITC,Information and Communication,Information and Communication,,,
 , ,24,OFS,Other Financial Services,Other Financial Services,,,
 , ,32,TST,Transportation and Storage,Transportation and Storage,,,
 , ,36,BPO,business process outsourcing,business process outsourcing,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
